time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-01T14:08:11.550Z,40.2628326,-121.4039993,7.51,2.66,md,12,124,,0.08,nc,nc73263280,2019-09-01T16:00:03.576Z,"15km WSW of Chester, CA",earthquake,0.35,1.79,0.09,17,automatic,nc,nc
2019-09-01T13:32:06.325Z,36.8638,-104.7906,5,2.8,ml,,94,0.085,0.62,us,us70005awd,2019-09-01T19:23:41.040Z,"31km W of Raton, New Mexico",earthquake,1.9,1.8,0.045,66,reviewed,us,us
2019-09-01T13:21:06.545Z,38.037,-97.9752,4.39,3.1,mb_lg,,146,0.029,0.31,us,us70005aw8,2019-09-03T21:15:30.761Z,"3km WNW of South Hutchinson, Kansas",earthquake,2.1,7.9,0.044,136,reviewed,us,us
2019-09-01T12:54:37.148Z,36.885,-104.8027,3.97,2.7,mb_lg,,106,0.096,0.29,us,us70005aw4,2019-09-04T08:41:59.040Z,"32km W of Raton, New Mexico",earthquake,1,2.9,0.074,82,reviewed,us,us
2019-09-01T12:05:32.650Z,35.596,-117.4076667,9.01,2.48,ml,39,44,0.04545,0.15,ci,ci39032464,2019-09-01T15:41:08.347Z,"19km S of Trona, CA",earthquake,0.23,0.39,0.137,25,automatic,ci,ci
2019-09-01T12:02:23.767Z,59.9523,-140.0741,5.3,2.6,ml,,,,0.75,ak,ak019b7qad2l,2019-09-01T12:40:42.040Z,"49km NNW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-09-01T11:57:36.436Z,5.3845,126.7614,90.77,4.9,mb,,76,2.045,0.94,us,us70005avt,2019-09-01T12:38:54.040Z,"125km SSE of Pondaguitan, Philippines",earthquake,8.2,5.4,0.052,114,reviewed,us,us
2019-09-01T11:29:43.714Z,37.2923,-104.9389,5,3.7,ml,,61,0.21,1.1,us,us70005avg,2019-09-03T12:00:29.848Z,"39km SSW of Walsenburg, Colorado",earthquake,1.6,2,0.041,128,reviewed,us,us
2019-09-01T10:47:30.999Z,62.4263,-150.5708,58.4,2.7,ml,,,,0.49,ak,ak019b7pd5jg,2019-09-01T12:20:26.040Z,"26km WNW of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-09-01T10:34:08.698Z,-6.1637,151.3061,10,4.8,mb,,113,2.137,0.49,us,us70005av2,2019-09-01T13:59:23.040Z,"145km ESE of Kimbe, Papua New Guinea",earthquake,9.6,1.8,0.131,18,reviewed,us,us
2019-09-01T10:16:30.338Z,61.4516,-149.945,29.8,3.2,ml,,,,0.59,ak,ak019b7p6iac,2019-09-01T22:39:25.051Z,"7km S of Big Lake, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-09-01T10:11:27.443Z,60.5495,-159.5217,8.6,2.5,ml,,,,0.81,ak,ak019b7p5fjd,2019-09-01T11:17:23.040Z,"125km ESE of Bethel, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-09-01T08:22:23.280Z,18.5718,-66.8633,96,2.62,md,4,269,0.2689,0.54,pr,pr2019244010,2019-09-01T11:56:11.254Z,"9km N of Camuy, Puerto Rico",earthquake,6.83,3.43,0.1,4,reviewed,pr,pr
2019-09-01T08:18:53.172Z,59.9641,-140.0936,7.2,2.6,ml,,,,0.79,ak,ak019b7o04bz,2019-09-01T08:23:00.429Z,"50km NNW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-09-01T07:38:36.441Z,59.0525,-137.0051,2.7,2.7,ml,,,,0.76,ak,ak019b7nixq5,2019-09-01T08:00:16.040Z,"91km WSW of Haines, Alaska",earthquake,,0.2,,,automatic,ak,ak
